City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
373,Kurchum,KZ,48.5722,83.6542,18.75,55,87,3.85,overcast clouds,2021-11-06 17:37:06
374,Araouane,ML,18.9048,-3.5265,87.57,16,73,8.9,broken clouds,2021-11-06 17:37:06
375,Matara,LK,5.9485,80.5353,76.48,91,99,9.89,overcast clouds,2021-11-06 17:37:07
376,Souillac,MU,-20.5167,57.5167,76.35,83,40,11.5,scattered clouds,2021-11-06 17:37:07
377,Mirnyy,RU,62.5353,113.9611,9.1,95,98,6.4,overcast clouds,2021-11-06 17:37:07
378,Tautira,PF,-17.7333,-149.15,80.62,78,78,7.56,light rain,2021-11-06 17:37:08
379,Ust-Kan,RU,50.9276,84.761,15.93,87,100,3.44,overcast clouds,2021-11-06 17:37:08
380,Liuzhou,CN,24.3126,109.3892,71.92,95,69,3.11,broken clouds,2021-11-06 17:37:09
381,Klyuchi,RU,52.2667,79.1667,25.47,92,98,9.28,overcast clouds,2021-11-06 17:37:09
382,Yerofey Pavlovich,RU,53.9667,121.9667,12.7,49,36,2.28,scattered clouds,2021-11-06 17:37:10
383,Yulara,AU,-25.2406,130.9889,67.84,88,90,9.22,overcast clouds,2021-11-06 17:37:10
384,Chicama,PE,-7.8447,-79.1469,66.74,61,99,11.21,overcast clouds,2021-11-06 17:37:10
385,Chlorakas,CY,34.8042,32.4083,70.68,49,0,6.91,clear sky,2021-11-06 17:37:11
386,Bilma,NE,18.6853,12.9164,84.15,13,13,5.46,few clouds,2021-11-06 17:37:11
387,Darlowo,PL,54.421,16.4107,47.95,83,100,21.97,overcast clouds,2021-11-06 17:34:26
388,Ada,US,43.4166,-116.1262,52.09,65,75,4.0,broken clouds,2021-11-06 17:37:12
389,Kuah,MY,6.3265,99.8432,80.58,94,20,2.3,few clouds,2021-11-06 17:37:12
390,Nishihara,JP,26.1842,127.7558,75.25,86,75,13.8,broken clouds,2021-11-06 17:37:13
391,Parati,BR,-23.2178,-44.7131,90.5,77,68,4.59,broken clouds,2021-11-06 17:34:51
392,Flinders,AU,-34.5833,150.8552,65.48,89,52,3.0,broken clouds,2021-11-06 17:37:13
393,Alofi,NU,-19.0595,-169.9187,73.29,94,58,6.91,light rain,2021-11-06 17:37:14
394,Metro,ID,-5.1131,105.3067,76.05,88,100,3.22,overcast clouds,2021-11-06 17:37:14
395,Clyde River,CA,70.4692,-68.5914,19.63,79,75,8.05,broken clouds,2021-11-06 17:37:15
396,Kovur,IN,14.4833,79.9833,75.74,94,100,11.14,light rain,2021-11-06 17:37:15
397,Antofagasta,CL,-23.65,-70.4,63.68,66,11,10.67,few clouds,2021-11-06 17:37:16
398,Fredericksburg,US,38.3032,-77.4605,57.74,47,1,4.0,clear sky,2021-11-06 17:33:16
399,Campbell River,CA,50.0163,-125.2446,45.32,98,75,4.61,broken clouds,2021-11-06 17:37:16
400,Metlaltoyuca,MX,20.7333,-97.85,71.8,71,77,3.69,broken clouds,2021-11-06 17:37:17
401,Samarai,PG,-10.6167,150.6667,82.13,78,59,14.07,broken clouds,2021-11-06 17:37:17
402,Manavalakurichi,IN,8.1333,77.3,82.49,86,78,10.13,light rain,2021-11-06 17:37:18
403,Capaci,IT,38.1711,13.2393,74.12,84,75,1.99,broken clouds,2021-11-06 17:37:18
404,Aitape,PG,-3.1374,142.3475,77.74,87,70,5.03,broken clouds,2021-11-06 17:37:19
405,Herat,AF,34.5,62.0,36.14,25,94,9.93,overcast clouds,2021-11-06 17:37:19
406,Bowen,AU,-20.0167,148.2333,68.22,71,84,11.86,broken clouds,2021-11-06 17:37:19
407,Tuatapere,NZ,-46.1333,167.6833,50.83,91,72,1.92,broken clouds,2021-11-06 17:37:20
408,Kutum,SD,14.2,24.6667,77.86,22,3,10.11,clear sky,2021-11-06 17:37:20
409,Torbat-E Jam,IR,35.244,60.6225,37.62,17,98,2.91,overcast clouds,2021-11-06 17:37:21
410,Manbij,SY,36.5281,37.9549,59.77,33,0,1.48,clear sky,2021-11-06 17:37:21
