City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
467,Sur,OM,76.8,clear sky,22.5667,59.5289,Sur
469,Maamba,ZM,84.18,broken clouds,-17.3667,27.15,maamba airport
471,Alenquer,BR,88.14,overcast clouds,-1.9417,-54.7383,Alenquer
480,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Porto-Novo
482,Topolobampo,MX,84.06,broken clouds,25.6,-109.05,Topolobampo
488,Touros,BR,88.7,overcast clouds,-5.1989,-35.4608,Touros
491,Puerto Escondido,MX,85.5,broken clouds,15.85,-97.0667,Puerto Escondido
492,La Orilla,MX,84.22,overcast clouds,17.9833,-102.2333,Lázaro Cárdenas
497,Morant Bay,JM,87.62,overcast clouds,17.8815,-76.4093,Morant Bay
501,Pombas,CV,78.58,few clouds,17.1503,-25.0201,Sinagoga
507,Batticaloa,LK,78.48,broken clouds,7.7102,81.6924,Batticaloa
514,Acacias,CO,83.37,broken clouds,3.987,-73.758,Acacias
516,Guanare,VE,89.62,broken clouds,9.0418,-69.7421,Guanare
517,Nanakuli,US,77.7,clear sky,21.3906,-158.1547,Nānākuli
522,Nuqui,CO,81.66,light rain,5.7125,-77.2708,Nuquí
524,Warri,NG,77.94,light rain,5.5167,5.75,Warri
527,Bo Rai,TH,81.86,broken clouds,12.5728,102.5371,Bo Phloi
529,Praya,CV,84.74,scattered clouds,14.9215,-23.5087,Praia
535,Vaitape,PF,79.93,scattered clouds,-16.5167,-151.75,Vaitape
536,Port Hedland,AU,78.85,few clouds,-20.3167,118.5667,Port Hedland
537,Saint George,US,75.67,scattered clouds,37.1041,-113.5841,St. George
543,Umm Kaddadah,SD,87.26,clear sky,13.6017,26.6876,Umm Kadadda
545,Quatre Cocos,MU,76.08,broken clouds,-20.2078,57.7625,Central Flacq
549,Caravelas,BR,79.54,overcast clouds,-17.7125,-39.2481,Caravelas
551,Ygatimi,PY,82.65,overcast clouds,-24.0833,-55.5,Tendal Reserva del Mbaracayu
552,Cumpas,MX,81.64,clear sky,29.9833,-109.7833,Cumpas Municipality
554,Sabya,SA,85.62,clear sky,17.1495,42.6254,Sabya
555,Adrar,MR,81.61,few clouds,20.5022,-10.0711,
556,Huicungo,PE,79.05,light rain,-7.2833,-76.8,Huicungo
560,Maningrida,AU,82.63,broken clouds,-12.0667,134.2667,West Arnhem
563,Asyut,EG,77.97,clear sky,27.181,31.1837,Asyut
564,Suba,PH,83.55,broken clouds,10.8438,121.0102,Cuyo
573,Harper,LR,79.77,overcast clouds,4.375,-7.7169,Harper
575,Montepuez,MZ,79.61,few clouds,-13.1256,38.9997,Montepuez
576,Mazatlan,MX,85.91,clear sky,23.2167,-106.4167,Mazatlán
583,Butterworth,MY,80.64,scattered clouds,5.3991,100.3638,George Town
585,Chongwe,ZM,78.94,few clouds,-15.3292,28.682,Chongwe
587,Atambua,ID,76.73,scattered clouds,-9.1061,124.8925,Atambua
596,Ugoofaaru,MV,81.66,broken clouds,5.6667,73.0,Ungoofaaru
597,Ibotirama,BR,87.15,overcast clouds,-12.1853,-43.2206,Ibotirama
600,Labuhan,ID,82.72,overcast clouds,-6.8844,112.2051,Musholla Babut Taubat
602,Trairi,BR,86.72,scattered clouds,-3.2778,-39.2689,Trairi
609,Santiago,CL,81.28,clear sky,-33.4569,-70.6483,Santiago
611,Inhambane,MZ,76.98,scattered clouds,-23.865,35.3833,Maxixe
620,Misratah,LY,77.41,broken clouds,32.3754,15.0925,Misrata
622,Mabopane,ZA,78.75,light rain,-25.4977,28.1007,Soshanguve
627,Banda Aceh,ID,77.11,light rain,5.5577,95.3222,Banda Aceh
632,Mattru,SL,78.62,light rain,7.6244,-11.8332,Bandajuma
633,Hobyo,SO,81.01,scattered clouds,5.3505,48.5268,Hobyo
634,Lukulu,ZM,85.98,broken clouds,-14.3707,23.242,Lukulu
636,Awbari,LY,78.19,few clouds,26.5921,12.7805,Awbari‎
637,Haapiti,PF,80.33,light rain,-17.5667,-149.8667,Ha'apiti
638,Zhuhai,CN,79.86,light rain,22.2769,113.5678,Zhuhai
639,Mahibadhoo,MV,83.01,overcast clouds,3.7833,72.9667,Omadhoo
641,Mitsamiouli,KM,80.89,few clouds,-11.3847,43.2844,Mitsamiouli
642,Port Moresby,PG,76.42,few clouds,-9.4431,147.1797,Port Moresby
